ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
9271949	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*54	5J	ABCHYBX01	NFM5FM5CF008N617	SKODA	FABIA	M1	M1	1080	9271949		111		1457	2455	1463	PETROL	M	999	55							1
9450064	DE	VW GROUP PC	IP-08-TMB-2018-2148	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0249*09	NS	ACDFHAX1	NAD7AD7DL0037CP0GS5N1C7B	SKODA	KODIAQ	M1G	M1G	1775	9450064	1986	147	189	1576	2788	1586	DIESEL	M	1968	140						0	1
15229897	CZ	VW GROUP PC	IP-08-TMB-2018-2066	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*03	5E	ACDADAX0	NFD7FD7CW0027CPSTVLN1C7B	ÂŠKODA	OCTAVIA	M1	M1	1317	15229897	1526	119	150	1533	2667	1533	Petrol	M	1498	110						0	1
9384999	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*53	5J	ACCHZBX01	NFM5FM5DF002N617	SKODA	FABIA	M1	M1	1134	9384999		101		1457	2455	1463	PETROL	M	999	70							1
9363392	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0326*45	3T	ACDFHAX01	NFD7FD7GC004STN627	SKODA	SUPERB	M1	M1	1610	9363392		123		1574	2836	1586	DIESEL	M	1968	140							1
9276491	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*54	5J	ABCHYBX01	NFM5FM5CF008N617	SKODA	FABIA	M1	M1	1080	9276491		111		1457	2455	1463	PETROL	M	999	55							1
5387645	GB	VW GROUP PC	IP-08-TMB-2018-0085	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADADAX0	NFM6FM62S0227CPSTVLN1B7A	SKODA	OCTAVIA SE TECHNOLOGY TSI	M1	M1	1280	5387645	1404	112	132	1524	2667	1533	Petrol	M	1498							0	1
9384769	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0319*00	5J	ACCHZBX01	NFM5FM5DF002N617	SKODA	FABIA	M1	M1	1134	9384769		101		1457	2455	1463	PETROL	M	999	70							1
4344141	SE			NISSAN	NISSAN INTERNATIONAL SA	NISSAN INTERNATIONAL SA	e11*2007/46*0963*17	J11	D	D75	NISSAN	NISSAN QASHQAI	M1		1360	4344141		129		2646	1560	1560	PETROL	M	1197	85							1
3522930	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2001/116*0291*55	5J	ABCHYAX01	NFM5FM5CF007N617	SKODA	FABIA S + MPI	M1	M1	1080	3522930		110		1435	2455	1441	Petrol	M	999								1
5406372	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0317*00	3T	ACDCXAX01	NFM6FM62S033STN617	SKODA	SUPERB S TDI	M1	M1	1525	5406372		114		1566	2836	1578	Diesel	M	1598								1
12659573	BE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2007/46*0243*26	5E	ACDDYAX0	NFM5FM5A4051S1VLN617	SKODA	OCTAVIA	M1	M1	1327	12659573		106		1524	2667	1533	Diesel	M	1598	85							1
9473652	DE	VW GROUP PC	IP-13-TMB-2018-0021	SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*15	AA	ABCHYA	FM5FM5CF0117CPVR2N1SSK1B	SKODA	CITIGO	M1	M1	934	9473652	1045	96	117	1428	2407	1433	PETROL	M	999	44						0	1
3134496	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0320*00	NH	ABCHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1185	3134496		106		1459	2590	1459	Petrol	M	999	70						0	1
5407467	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2001/116*0326*45	3T	ACDCXAX01	NFM6FM62S033STN617	SKODA	SUPERB S TDI	M1	M1	1525	5407467		114		1566	2836	1578	Diesel	M	1598								1
3322911	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2001/116*0291*54	5J	ABCHYAX01	NFM5FM5CF007N617	SKODA	FABIA S + MPI	M1	M1	1080	3322911		110		1435	2455	1441	Petrol	M	999								1
9267764	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0319*00	5J	ABCHYBX01	NFM5FM5CF008N617	SKODA	FABIA	M1	M1	1080	9267764		111		1457	2455	1463	PETROL	M	999	55							1
3401351	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0317*00	3T	AADCXAX01	NFM6FM62S033STN617	SKODA	SUPERB SE TDI	M1	M1	1500	3401351		110		1566	2836	1578	Diesel	M	1598								1
3135037	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0250*19	NH	AACHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1190	3135037		106		1459	2590	1459	Petrol	M	999	70						0	1
9475600	DE	VW GROUP PC	IP-13-TMB-2018-0021	SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*16	AA	ABCHYA	FM5FM5CF0117CPVR2N1SSK1B	SKODA	CITIGO	M1	M1	934	9475600	1041	96	116	1428	2407	1433	PETROL	M	999	44						0	1
2809322	AT	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S. TR.	e11*2001/116*0291*54	5J	ABCHYAX01	NFM5FM5CF007N617	SKODA	FABIA	M1	M1	1080	2809322		110		1435	2455	1441	Petrol	M	999	44							1
15094557	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2001/116*0291*55	5J	ABCHZBX01	NFM5FM5DF002N617	ÂŠKODA	FABIA	M1	M1	1110	15094557		101		1441	2455	1441	Petrol	M	999	70							1
9273974	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0319*00	5J	ABCHYBX01	NFM5FM5CF008N617	SKODA	FABIA	M1	M1	1080	9273974		111		1457	2455	1463	PETROL	M	999	55							1
11918190	IE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2001/116*0326*45	3T	AADCXAX01	NFM6FM62S033STN617	SKODA	SUPERB	M1	M1	1500	11918190		110		1566	2836	1578	DIESEL	M	1598	88							1
5384087	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0319*00	5J	ABCHYAX01	NFM5FM5CF007N617	SKODA	FABIA S MPI	M1	M1	1080	5384087		110		1435	2455	1441	Petrol	M	999								1
3132844	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0250*18	NH	ABCHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1185	3132844		106		1459	2590	1459	Petrol	M	999	70						0	1
9475143	DE	VW GROUP PC	IP-13-TMB-2018-0021	SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*16	AA	ABCHYA	FM5FM5CF0117CPVR2N1SSK1B	SKODA	CITIGO	M1	M1	934	9475143	1059	96	117	1428	2407	1433	PETROL	M	999	44						0	1
269108	DK	VW GROUP PC	IP-08-TMB-2018-0085	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*04	5E	ACDADAX0	NFM6FM62S0227CPSTVLN1B7A	Skoda	OCTAVIA	M1	M1	1302	269108	1420	119	136	1524	2667	1533	Petrol	M	1498	110						0	1
5398864	GB	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA SE TECHNOLOGY TDI	M1	M1	1348	5398864	1464	107	126	1524	2667	1533	Diesel	M	1598							0	1
15211008	CZ	VW GROUP PC	IP-08-TMB-2018-0005	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*03	3T	AADFGAX01	NFD7FD7GC0047CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1560	15211008	1704	114	145	1578	2836	1578	Diesel	M	1968	110						0	1
268474	DK	VW GROUP PC	IP-08-TMB-2018-0160	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*02	5E	ACDKZAX0	NFD7FD7GC0037CSSTMLN1C7A	Skoda	OCTAVIA	M1	M1	1410	268474	1528	139	156	1532	2677	1533	Petrol	M	1984	140						0	1
5386784	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA SE TECHNOLOGY TDI	M1	M1	1348	5386784	1478	107	127	1524	2667	1533	Diesel	M	1598							0	1
12023520	RO	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA	M1	M1	1348	12023520	1473	107	126	1524	2667	1533	Diesel	M	1598	85						0	1
792173	FR	VW GROUP PC	IP-08-TMB-2018-0093	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0272*04	NU	ACDGTEX0	NFD7FD7CW0027CP6N1C7A	SKODA	KAROQ	M1	M1	1462	792173	1597	125	156	1572	2624	1572	Diesel	M	1598	85						0	1
3302983	GB	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA SE TECHNOLOGY TDI	M1	M1	1348	3302983	1464	107	126	1524	2667	1533	Diesel	M	1598							0	1
15195720	CZ	VW GROUP PC	IP-08-TMB-2018-0007	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*03	3T	AADFHAX01	NFD7FD7GC0047CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1573	15195720	1770	119	148	1578	2836	1578	Diesel	M	1968	140						0	1
12023446	RO	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA	M1	M1	1348	12023446	1471	107	125	1524	2667	1533	Diesel	M	1598	85						0	1
5412663	GB	VW GROUP PC	IP-08-TMB-2018-0085	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*03	5E	ACDADAX0	NFM6FM62S0227CPSTVLN1B7A	SKODA	OCTAVIA SE TSI	M1	M1	1302	5412663	1415	119	137	1524	2667	1533	Petrol	M	1498							0	1
3316308	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA SE TDI	M1	M1	1348	3316308	1471	107	128	1524	2667	1533	Diesel	M	1598							0	1
3548841	GB	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	ACDADAX0	NFM6FM62S0227CPSTVLN1B7A	SKODA	OCTAVIA SE TECHNOLOGY TSI	M1	M1	1302	3548841	1418	119	137	1524	2667	1533	Petrol	M	1498							0	1
12586538	HR	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA AUTO a.s. tr. Vaclava Klementa 869 Mlada Boleslav II 293 01 Mlada Boleslav  CZ	e8*2007/46*0318*02	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA	M1	M1	1348	12586538	1453	107	124	1524	2667	1533	Diesel	M	1598	85						0	1
15055441	CZ	VW GROUP PC	IP-08-TMB-2018-0005	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*02	3T	AADFGAX01	NFD7FD7GC0047CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1560	15055441	1769	114	147	1578	2836	1578	Diesel	M	1968	110						0	1
13741397	IT			NISSAN	NISSAN INTERNATIONAL SA	NISSAN INTERNATIONAL SA	e11*2007/46*0963*14	J11	A	A02	NISSAN	NISSAN QASHQAI		M1	1393	13741397		99		2646	1560		DIESEL	M	1461	81							1
13741403	IT			NISSAN	NISSAN INTERNATIONAL SA	NISSAN INTERNATIONAL SA	e11*2007/46*0963*14	J11	A	A02	NISSAN	NISSAN QASHQAI		M1	1393	13741403		99		2646	1560		DIESEL	M	1461	81							1
3325098	GB	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA S TDI	M1	M1	1348	3325098	1446	107	126	1524	2667	1533	Diesel	M	1598							0	1
8550651	SI	VW GROUP PC	IP-08-TMB-2018-0085	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*03	5E	AADADAX0	NFM6FM62S0227CPSTVLN1B7A	SKODA	OCTAVIA / 1.5 / TSI	M1	M1	1280	8550651	1411	112	131	1524	2667	1533	Petrol	M	1498	110						0	1
12388671	NL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e11*2007/46*0250*20	NH	ABCHZB	NFD7FD7CW001STN761SK	SKODA	RAPID	M1		1199	12388671		107		1480	2590	1440	PETROL	M	999	70							1
9258103	DE	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0318*03	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA	M1	M1	1348	9258103	1473	107	128	1540	2667	1549	DIESEL	M	1598	85						0	1
12388735	NL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e11*2007/46*0250*19	NH	ABCHZB	NFD7FD7CW001STN761SK	SKODA	RAPID	M1		1199	12388735		107		1480	2590	1440	PETROL	M	999	70							1
309014	SK	VW GROUP PC		SKODA	SKODA AUTO AS	ÂŠKODA AUTO A.S.	e8*2007/46*0317*00	3T	ACDFGAX01	NFD7FD7GC004STN617	ÂŠKODA	SUPERB	M1	M1	1595	309014		117		1566	2836	1578	Diesel	M	1968	110							1
3436938	GB	VW GROUP PC	IP-08-TMB-2018-0093	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*07	NU	ACDGTEX0	NFD7FD7CW0027CP156N1C7A	SKODA	KAROQ SE L TDI S-A	M1	M1	1462	3436938	1621	125	158	1537	2624	1572	Diesel	M	1598							0	1
15164924	CZ	VW GROUP PC	IP-08-TMB-2018-0005	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*02	3T	AADFGAX01	NFD7FD7GC0047CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1560	15164924	1712	114	145	1578	2836	1578	Diesel	M	1968	110						0	1
9337815	DE	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0318*03	5E	ACDGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA	M1	M1	1370	9337815	1482	109	130	1540	2667	1549	DIESEL	M	1598	85						0	1
9283268	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0320*00	NH	ABCHZB	NFD7FD7CW001STN761SK	SKODA	RAPID	M1	M1	1199	9283268		107		1500	2590	1463	PETROL	M	999	70							1
3477944	GB	VW GROUP PC	IP-08-TMB-2018-0093	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*07	NU	ACDGTEX0	NFD7FD7CW0027CP156N1C7A	SKODA	KAROQ SE L TDI S-A	M1	M1	1462	3477944	1639	125	159	1537	2624	1572	Diesel	M	1598							0	1
314225	SK	VW GROUP PC		SKODA	SKODA AUTO AS	ÂŠKODA AUTO A.S.	e8*2007/46*0249*06	NS	ACCZEAX1	NAM6AM6BB0020NS5N618	ÂŠKODA	KODIAQ	M1	M1	1615	314225		155		1566	2788	1576	Petrol	M	1395	110		e8 19	1				1
5390511	GB	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA SE TDI	M1	M1	1348	5390511	1457	107	127	1524	2667	1533	Diesel	M	1598							0	1
15226626	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0272*02	NU	ACDFFAX1	NAD7AD7GC0053637	ÂŠKODA	KAROQ	M1	M1	1591	15226626		137		1572	2629	1572	Diesel	M	1968	110							1
15156439	CZ	VW GROUP PC	IP-08-TMB-2018-0005	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*02	3T	ACDFGAX01	NFD7FD7GC0047CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1582	15156439	1783	117	152	1578	2836	1578	Diesel	M	1968	110						0	1
5378653	GB	VW GROUP PC	IP-08-TMB-2018-0093	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0272*06	NU	ACDGTEX0	NFD7FD7CW0027CP156N1C7A	SKODA	KAROQ SE L TDI S-A	M1	M1	1462	5378653	1639	125	159	1537	2624	1572	Diesel	M	1598							0	1
10769222	ES			NISSAN	NISSAN INTERNATIONAL SA	NISSAN INTERNACIONAL S.A.	e13*2007/46*1456*11	T32	C	C03	NISSAN	X-TRAIL	M1	M1	1550	10769222		149		2705	1575	1575	PETROL	M	1618	120							1
3136037	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0250*18	NH	ABCHZB	NFM5FM5DF002STN761SK	SKODA	RAPID	M1	M1	1165	3136037		103		1459	2590	1459	Petrol	M	999	70						0	1
15239779	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2001/116*0291*54	5J	ABCHZBX01	NFM5FM5DF002N617	ÂŠKODA	FABIA	M1	M1	1110	15239779		101		1441	2455	1441	Petrol	M	999	70							1
9273759	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*53	5J	ABCHYBX01	NFM5FM5CF008N617	SKODA	FABIA	M1	M1	1080	9273759		111		1457	2455	1463	PETROL	M	999	55							1
9472232	DE	VW GROUP PC	IP-13-TMB-2018-0025	SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*15	AA	ABCHYB	FM5FM5CF0117CPVR2N1SSK1B	SKODA	CITIGO	M1	M1	936	9472232	1068	97	122	1428	2407	1433	PETROL	M	999	55						0	1
15236835	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2001/116*0291*53	5J	ABCHZCX01	NFM6FM6DQ002N627	ÂŠKODA	FABIA	M1	M1	1130	15236835		103		1441	2455	1441	Petrol	M	999	81							1
3134957	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0250*19	NH	AACHZB	NFM5FM5DF002STN761SK	SKODA	RAPID	M1	M1	1170	3134957		103		1459	2590	1459	Petrol	M	999	70						0	1
11334672	BE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0317*00	3T	ACDCXAX01	NFM6FM62S033STN617	SKODA	SUPERB	M1	M1	1525	11334672		114		1566	2836	1578	Diesel	M	1598	88							1
9472323	DE	VW GROUP PC	IP-13-TMB-2018-0025	SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*15	AA	ABCHYB	FM5FM5CF0117CPVR2N1SSK1B	SKODA	CITIGO	M1	M1	936	9472323	1056	97	121	1428	2407	1433	PETROL	M	999	55						0	1
15206640	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0319*00	5J	ABCHZBX01	NFM5FM5DF002N617	ÂŠKODA	FABIA	M1	M1	1110	15206640		101		1441	2455	1441	Petrol	M	999	70							1
3135604	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0250*19	NH	AACHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1190	3135604		106		1459	2590	1459	Petrol	M	999	70						0	1
12577980	HR	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO a.s. tr. Vaclava Klementa 869 Mlada Boleslav II 293 01 Mlada Boleslav  CZ	e8*2007/46*0319*00	5J	ABCHYAX01	NFM5FM5CF007N617	SKODA	FABIA	M1	M1	1080	12577980		110		1435	2455	1441	Petrol	M	999	44							1
9273745	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2001/116*0291*53	5J	ABCHYBX01	NFM5FM5CF008N617	SKODA	FABIA	M1	M1	1080	9273745		111		1457	2455	1463	PETROL	M	999	55							1
15159843	CZ	VW GROUP PC	IP-08-TMB-2018-0121	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0272*06	NU	ACDFFAX1	NAM6AM62Q0017CP164N1C7A	ÂŠKODA	KAROQ	M1	M1	1561	15159843	1750	134	167	1572	2629	1572	Diesel	M	1968	110						0	1
9473945	DE	VW GROUP PC	IP-13-TMB-2018-0025	SKODA	SKODA AUTO AS	SKODA (CZ)	e13*2007/46*1169*15	AA	ABCHYB	FM5FM5CF0117CPVR2N1SSK1B	SKODA	CITIGO	M1	M1	936	9473945	1066	97	122	1428	2407	1433	PETROL	M	999	55						0	1
3136793	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2007/46*0250*20	NH	AACHZB	NFM5FM5DF002STN761SK	SKODA	RAPID	M1	M1	1170	3136793		103		1459	2590	1459	Petrol	M	999	70						0	1
3059579	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2001/116*0291*54	5J	ABCHZCX01	NFM6FM6DQ002N627	ÂŠKODA	FABIA	M1	M1	1130	3059579		103		1441	2455	1441	Petrol	M	999	81							1
4177017	PT	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e8*2007/46*0272*02	NU	ACDDYAX0	NFM6FM62S0334617	SKODA	KAROQ	M1	M1	1426	4177017		120		1537	2624	1572	DIESEL	M	1598	85							1
15105702	CZ	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e11*2001/116*0291*54	5J	ABCHZBX01	NFM5FM5DF002N617	ÂŠKODA	FABIA	M1	M1	1110	15105702		101		1441	2455	1441	Petrol	M	999	70							1
314192	SK	VW GROUP PC		SKODA	SKODA AUTO AS	ÂŠKODA AUTO A.S.	e8*2007/46*0249*06	NS	ACCZDAX1	NAD6AD6D90170NS5N618	ÂŠKODA	KODIAQ	M1	M1	1630	314192		163		1566	2788	1576	Petrol	M	1395	110		e8 19	1				1
5389386	GB	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*01	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA SE TECHNOLOGY TDI	M1	M1	1348	5389386	1478	107	127	1524	2667	1533	Diesel	M	1598							0	1
262463	DK	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA	e11*2007/46*0250*20	NH	ABCHZB	NFD7FD7CW001STN761SK	Skoda	RAPID	M1	M1	1199	262463		107		1478	2590	1441	Petrol	M	999	70							1
9261227	DE	VW GROUP PC	IP-08-TMB-2018-0165	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0318*03	5E	AADKTBX0	RFD7FD7GC0037CSV2MLN1E7A	SKODA	OCTAVIA	M1	M1	1448	9261227	1548	142	169	1556	2677	1547	PETROL	M	1984	180						0	1
5392742	GB	VW GROUP PC	IP-08-TMB-2018-0097	SKODA	SKODA AUTO AS	SKODA	e8*2007/46*0318*03	5E	AADGTEX0	NFM5FM5A40517CPSTVLN1B7A	SKODA	OCTAVIA S TDI	M1	M1	1348	5392742	1461	107	126	1524	2667	1533	Diesel	M	1598							0	1
426195	FI	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO a.s.	e8*2007/46*0272*03	NU	ACDADAX0	NFD7FD7CW0025618	SKODA	KAROQ	M1	M1	1393	426195		125		1541	2624	1576	Petrol	M	1498	110		e8 19	1				1
413001	FI	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e11*2007/46*0250*19	NH	ABCHZB	NFD7FD7CW001STN761SK	SKODA	RAPID	M1	M1	1199	413001		107		1500	2590	1463	Petrol	M	999	70							1
15226805	CZ	VW GROUP PC	IP-08-TMB-2018-0005	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*02	3T	AADFGAX01	NFD7FD7GC0047CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1560	15226805	1711	114	145	1578	2836	1578	Diesel	M	1968	110						0	1
9338688	DE	VW GROUP PC	IP-08-TMB-2018-0093	SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0272*05	NU	ACDGTEX0	NFD7FD7CW0027CP156N1C7A	SKODA	KAROQ	M1	M1	1462	9338688	1607	125	157	1541	2624	1576	DIESEL	M	1598	85						0	1
3125430	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*00	5E	ACDDYBX0	NFM5FM5A4051STVLN617	SKODA	OCTAVIA	M1	M1	1327	3125430		106		1528	2667	1528	Diesel	M	1598	85						0	1
412616	FI	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO a.s.	e11*2007/46*0250*20	NH	ABCHZB	NFD7FD7CW001STN761SK	SKODA	RAPID	M1	M1	1199	412616		107		1500	2590	1463	Petrol	M	999	70							1
9399697	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0272*03	NU	ACDADAX0	NFD7FD7CW0025618	SKODA	KAROQ	M1	M1	1393	9399697		125		1541	2624	1576	PETROL	M	1498	110		e8 19	1				1
411817	FI	VW GROUP PC	IP-08-TMB-2018-0165	SKODA	SKODA AUTO AS	SKODA AUTO a.s.	e8*2007/46*0318*03	5E	AADKTBX0	RFD7FD7GC0037CSV2MLN1E7A	SKODA	OCTAVIA	M1	M1	1448	411817	1580	142	170	1556	2677	1547	Petrol	M	1984	180						0	1
3126421	PL	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0318*00	5E	ACDDYAX0	NFM5FM5A4051STVLN617	SKODA	OCTAVIA	M1	M1	1327	3126421		106		1528	2667	1528	Diesel	M	1598	85						0	1
9282679	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0320*00	NH	ABCHZB	NFD7FD7CW001STN761SK	SKODA	RAPID	M1	M1	1199	9282679		107		1500	2590	1463	PETROL	M	999	70							1
15210809	CZ	VW GROUP PC	IP-08-TMB-2018-0005	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*02	3T	AADFGAX01	NFD7FD7GC0047CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1560	15210809	1688	114	144	1578	2836	1578	Diesel	M	1968	110						0	1
