ID	MS	Mp	VFN	Mh	Man	MMS	TAN	T	Va	Ve	Mk	Cn	Ct	Cr	m (kg)	ID	Mt	Enedc (g/km)	Ewltp (g/km)	W (mm)	At1 (mm)	At2 (mm)	Ft	Fm	ec (cm3)	ep (KW)	z (Wh/km)	It	Ernedc (g/km)	Erwltp (g/km)	De	Vf	r
4386220	SE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e8*2007/46*0249*05	NS	ACCZPAX1	NAD7AD7DL0044NS7N618	SKODA	KODIAQ	M1		1738	4386220		170		1566	2788	1576	Petrol	M	1984	132		e8 19	1				1
15201435	CZ	VW GROUP PC	IP-08-TMB-2018-0006	SKODA	SKODA AUTO AS	SKODA AUTO AS	e8*2007/46*0317*02	3T	ACDFHAX11	NAD7AD7GC0057CNSTN1C7A	ÂŠKODA	SUPERB	M1	M1	1677	15201435	1906	136	174	1578	2836	1578	Diesel	M	1968	140						0	1
9326768	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0243*25	5E	ACCHHAX0	RFD6FD6D9011V2MLN647	SKODA	OCTAVIA	M1	M1	1462	9326768		149		1556	2677	1547	PETROL	M	1984	169							1
2690858	AT	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S. TR.	e8*2007/46*0249*06	NS	ACCZEAX1	NAM6AM6BB0020NS5N618	SKODA	KODIAQ	M1	M1	1615	2690858		155		1566	2788	1576	Petrol	M	1395	110		e8 19	1				1
9424160	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0249*06	NS	ACCZDAX1	NAD6AD6D90175NS7N618	SKODA	KODIAQ	M1	M1	1673	9424160		163		1576	2788	1586	PETROL	M	1395	110		e8 19	1				1
9328304	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0243*26	5E	ACCHHAX0	RFD6FD6D9011V2MLN647	SKODA	OCTAVIA	M1	M1	1462	9328304		149		1556	2677	1547	PETROL	M	1984	169							1
6280321	IT	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA AUTO A.S.	e11*2007/46*0250*20	NH	ABCUSB	NFM5FM5A4054STN761SK	SKODA	RAPID	M1	M1	1239	6280321		104		1478	2590	1441	DIESEL	M	1422	66							1
7368409	DE			AA-IVA	AA-IVA	BMW M		OHNETYPENANGABE	JF03			M5	M1	M1	1982	7368409		230					PETROL	M	4395	447							1
9447853	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0318*00	5E	ACCUNAX1	RAD6AD6D9003V2MLN647	SKODA	OCTAVIA	M1	M1	1572	9447853		136		1556	2677	1547	DIESEL	M	1968	135							1
9297100	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e8*2007/46*0320*00	NH	ABCHZC	NFM6FM6DQ002STN762SK	SKODA	RAPID	M1	M1	1185	9297100		106		1500	2590	1463	PETROL	M	999	81							1
9330137	DE	VW GROUP PC		SKODA	SKODA AUTO AS	SKODA (CZ)	e11*2007/46*0243*25	5E	ACDDYAX0	NFM5FM5A4051STVLN627	SKODA	OCTAVIA	M1	M1	1327	9330137		109		1540	2667	1549	DIESEL	M	1598	85							1
